what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1411794673152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411794693641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411794693786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411794697944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411794698066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1411794717553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411794719805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411794721811
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411794723764
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1411794726524
started,bundle,com.ibm.ws.st.ui,1.0.100.v20121204_2130,"com.ibm.ws.st.ui",1411794726908
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411794736706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411794833402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411794834616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411794850200
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411794854998
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411794856403
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1411794863744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411794869972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411794870694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411794872534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411794873061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411794885798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411794887600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411794949599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411794961625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411794962331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411794992722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411794994044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411794996922
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1411795000035
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1411795001496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411795003059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795018454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795436663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795453112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795455494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795461988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795462018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795475199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795475313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411795510828
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411795514022
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411795522099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411795524969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411795529987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411795540896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795544401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795546250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795553001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795554523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411795563237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795577309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795577429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411795578814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795583799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795588486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411795593868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411795597208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411796524296
